Index	Uniprot_ID	Protein_names	Length	Organism_ID	Gene_name	Subcellular_location	GO(CC)	Tissue_specificity	GeneID	PDB	Degree	mean_score_top_10_pred
136	P27169	Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1)	355	9606	PON1	Secreted, extracellular space.	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; high-density lipoprotein particle [GO:0034364]; intracellular membrane-bounded organelle [GO:0043231]; spherical high-density lipoprotein particle [GO:0034366]	Plasma, associated with HDL (at protein level). Expressed in liver, but not in heart, brain, placenta, lung, skeletal muscle, kidney or pancreas. {ECO:0000269|PubMed:8292612, ECO:0000269|PubMed:8382160}.	5444;	1V04;1XHR;	3	0.669047600030899
137	P06746	DNA polymerase beta (EC 2.7.7.7) (EC 4.2.99.-)	335	9606	POLB	Nucleus. Cytoplasm. Note=Cytoplasmic in normal conditions. Translocates to the nucleus following DNA damage.	cytoplasm [GO:0005737]; microtubule [GO:0005874]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; spindle microtubule [GO:0005876]		5423;	1BPX;1BPY;1BPZ;1MQ2;1MQ3;1TV9;1TVA;1ZJM;1ZJN;1ZQA;1ZQB;1ZQC;1ZQD;1ZQE;1ZQF;1ZQG;1ZQH;1ZQI;1ZQJ;1ZQK;1ZQL;1ZQM;1ZQN;1ZQO;1ZQP;1ZQQ;1ZQR;1ZQS;1ZQT;2FMP;2FMQ;2FMS;2I9G;2ISO;2ISP;2P66;2PXI;3C2K;3C2L;3C2M;3GDX;3ISB;3ISC;3ISD;3JPN;3JPO;3JPP;3JPQ;3JPR;3JPS;3JPT;3LK9;3MBY;3OGU;3RH4;3RH5;3RH6;3RJE;3RJF;3RJG;3RJH;3RJI;3RJJ;3RJK;3TFR;3TFS;4DO9;4DOA;4DOB;4DOC;4F5N;4F5O;4F5P;4F5Q;4F5R;4GXI;4GXJ;4GXK;4JWM;4JWN;4KLD;4KLE;4KLF;4KLG;4KLH;4KLI;4KLJ;4KLL;4KLM;4KLO;4KLQ;4KLS;4KLT;4KLU;4LVS;4M2Y;4M47;4M9G;4M9H;4M9J;4M9L;4M9N;4MF2;4MF8;4MFA;4MFC;4MFF;4NLK;4NLN;4NLZ;4NM1;4NM2;4NXZ;4NY8;4O5C;4O5E;4O5K;4O9M;4P2H;4PGQ;4PGX;4PGY;4PH5;4PHA;4PHD;4PHE;4PHP;4PPX;4R63;4R64;4R65;4R66;4RPX;4RPY;4RPZ;4RQ0;4RQ1;4RQ2;4RQ3;4RQ4;4RQ5;4RQ6;4RQ7;4RQ8;4RT2;4RT3;4TUP;4TUQ;4TUR;4TUS;4UAW;4UAY;4UAZ;4UB1;4UB2;4UB3;4UB4;4UB5;4UBB;4UBC;4YMM;4YMN;4YMO;4YN4;4Z6C;4Z6D;4Z6E;4Z6F;5BOL;5BOM;5BPC;5DB6;5DB7;5DB8;5DB9;5DBA;5DBB;5DBC;5EOZ;5HHH;5HHI;5J0O;5J0P;5J0Q;5J0R;5J0S;5J0T;5J0U;5J0W;5J0X;5J0Y;5J29;5J2A;5J2B;5J2C;5J2D;5J2E;5J2F;5J2G;5J2H;5J2I;5J2J;5J2K;5TB8;5TB9;5TBA;5TBB;5TBC;5TZV;5U2R;5U2S;5U2T;5U8G;5U8H;5U8I;5U9H;5UGN;5UGO;5UGP;5V1F;5V1G;5V1H;5V1I;5V1J;5V1N;5V1O;5V1P;5V1R;5VEZ;5VRW;5VRX;5VRY;5VRZ;5VS0;5VS1;5VS2;5VS3;5VS4;5WNX;5WNY;5WNZ;5WO0;6BEL;6BEM;6BTE;6BTF;6CLY;6CPQ;6CR3;6CR4;6CR5;6CR6;6CR7;6CR8;6CR9;6CRB;6CRC;6CRH;6CTI;6CTJ;6CTK;6CTL;6CTM;6CTN;6CTO;6CTP;6CTQ;6CTR;6CTT;6CTU;6CTV;6CTW;6CTX;6CU9;6CUA;6CUB;6DIA;6DIC;6E3R;6E3V;6E3W;6E3X;6G2Q;6MR7;6MR8;6N2R;6N2S;6N2T;6NKR;6NKS;6NKT;6NKU;6NKV;6NKW;6NKX;6NKY;6NKZ;6NL0;6PH5;6PH6;6UOK;6UOL;6UOM;7ICE;7ICF;7ICG;7ICH;7ICI;7ICJ;7ICK;7ICL;7ICM;7ICN;7ICO;7ICP;7ICQ;7ICR;7ICS;7ICT;7ICU;7ICV;8ICA;8ICB;8ICC;8ICE;8ICF;8ICG;8ICH;8ICI;8ICJ;8ICK;8ICL;8ICM;8ICN;8ICO;8ICP;8ICQ;8ICR;8ICS;8ICT;8ICU;8ICV;8ICW;8ICX;8ICY;8ICZ;9ICA;9ICB;9ICC;9ICE;9ICF;9ICG;9ICH;9ICI;9ICJ;9ICK;9ICL;9ICM;9ICN;9ICO;9ICP;9ICQ;9ICR;9ICS;9ICT;9ICU;9ICV;9ICW;9ICX;9ICY;	5	0.7849385797977447
138	P50591	Tumor necrosis factor ligand superfamily member 10 (Apo-2 ligand) (Apo-2L) (TNF-related apoptosis-inducing ligand) (Protein TRAIL) (CD antigen CD253)	281	9606	TNFSF10	Cell membrane {ECO:0000269|PubMed:14609566}; Single-pass type II membrane protein {ECO:0000305}. Secreted {ECO:0000269|PubMed:14609566}. Note=Exists both as membrane-bound and soluble form. {ECO:0000269|PubMed:14609566}.	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]	Widespread; most predominant in spleen, lung and prostate.	8743;	1D0G;1D2Q;1D4V;1DG6;1DU3;4N90;5CIR;	3	0.6455666124820709
139	Q5VW36	Focadhesin	1801	9606	FOCAD	Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cell junction, focal adhesion. Note=Colocalizes with VCL in astrocytes.	focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]	Ubiquitous. High expression in brain followed by testis, muscle, pancreas, heart, ovary, small intestine, placenta, prostate, thymus, kidney, colon, liver, lung, spleen and leukocytes. Expression is reduced in most glioblastomas and all glioblastoma cell lines. {ECO:0000269|PubMed:16877819, ECO:0000269|PubMed:22427331}.	54914;	NA;	1	0.5608693420886993
140	Q0VDF9	Heat shock 70 kDa protein 14 (HSP70-like protein 1) (Heat shock protein HSP60)	509	9606	HSPA14	Cytoplasm, cytosol {ECO:0000269|PubMed:16002468}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; polysome [GO:0005844]		51182;	NA;	4	0.7650444686412812
141	Q13127	RE1-silencing transcription factor (Neural-restrictive silencer factor) (X2 box repressor)	1097	9606	REST	Nucleus {ECO:0000269|PubMed:16442230, ECO:0000269|PubMed:21258371, ECO:0000269|PubMed:24670762, ECO:0000269|PubMed:27531581, ECO:0000269|PubMed:30684677}. Cytoplasm {ECO:0000269|PubMed:24670762, ECO:0000269|PubMed:27531581, ECO:0000269|PubMed:30684677}. Note=Colocalizes with ZFP90 in the nucleus (By similarity). In response to hypoxia, there is a more pronounced increase in levels in the nucleus as compared to the cytoplasm (PubMed:27531581). In aging neurons, increased levels in the nucleus as compared to the cytoplasm (PubMed:24670762, PubMed:30684677). {ECO:0000250|UniProtKB:Q8VIG1, ECO:0000269|PubMed:24670762, ECO:0000269|PubMed:27531581, ECO:0000269|PubMed:30684677}.; [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:16442230}.; [Isoform 3]: Nucleus {ECO:0000269|PubMed:11741002, ECO:0000269|PubMed:16442230}.; [Isoform 4]: Cytoplasm {ECO:0000269|PubMed:16442230}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053]	Expressed in neurons of the prefrontal cortex, in hippocampal pyramidal neurons, dentate gyrus granule neurons and cerebellar Purkinje and granule neurons (at protein level) (PubMed:24670762). Expressed in dopaminergic neurons of the substantia nigra (at protein level) (PubMed:30684677). Expressed in neural progenitor cells (at protein level) (PubMed:21258371). In patients suffering from Alzheimer disease, frontotemporal dementia or dementia with Lewy bodies, decreased nuclear levels have been observed in neurons of the prefrontal cortex and the hippocampus, but not in neurons of the dentate gyrus and cerebellum (at protein level) (PubMed:24670762). In patients with Parkinson disease or dementia with Lewy bodies, decreased nuclear levels have been observed in dopaminergic neurons and in cortical neurons and localization to Lewy bodies and pale bodies was detected (at protein level) (PubMed:30684677). Expressed at higher levels in weakly invasive breast cancer cell lines and at lower levels in highly invasive breast cancer lines (at protein level) (PubMed:26053433). Ubiquitous (PubMed:8568247). Expressed at higher levels in the tissues of the lymphocytic compartment, including spleen, thymus, peripheral blood lymphocytes and ovary (PubMed:8568247). {ECO:0000269|PubMed:21258371, ECO:0000269|PubMed:24670762, ECO:0000269|PubMed:26053433, ECO:0000269|PubMed:30684677, ECO:0000269|PubMed:8568247}.	5978;	2CZY;6DU2;6DU3;	8	0.840808880329132
142	Q96JS3	PiggyBac transposable element-derived protein 1 (Cerebral protein 4)	809	9606	PGBD1		membrane [GO:0016020]		84547;	NA;	2	0.5348682343959809
143	O00206	Toll-like receptor 4 (EC 3.2.2.6) (hToll) (CD antigen CD284)	839	9606	TLR4	Cell membrane {ECO:0000269|PubMed:11274165, ECO:0000269|PubMed:20037584, ECO:0000269|PubMed:27022195, ECO:0000269|PubMed:9237759}; Single-pass type I membrane protein {ECO:0000269|PubMed:11274165}. Early endosome {ECO:0000269|PubMed:27022195}. Cell projection, ruffle {ECO:0000250|UniProtKB:Q9QUK6}. Note=Upon complex formation with CD36 and TLR6, internalized through dynamin-dependent endocytosis (PubMed:20037584). Colocalizes with RFTN1 at cell membrane and then together with RFTN1 moves to endosomes, upon lipopolysaccharide stimulation. {ECO:0000269|PubMed:20037584}.	cell surface [GO:0009986]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; lipopolysaccharide receptor complex [GO:0046696]; perinuclear region of cytoplasm [GO:0048471]; phagocytic cup [GO:0001891]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ruffle [GO:0001726]	Highly expressed in placenta, spleen and peripheral blood leukocytes (PubMed:9435236, PubMed:9237759). Detected in monocytes, macrophages, dendritic cells and several types of T-cells (PubMed:9237759, PubMed:27022195). {ECO:0000269|PubMed:27022195, ECO:0000269|PubMed:9237759, ECO:0000269|PubMed:9435236}.	7099;	2Z62;2Z63;2Z65;2Z66;3FXI;3UL7;3UL8;3UL9;3ULA;4G8A;5NAM;5NAO;	8	0.8065051317214966
144	P18054	Polyunsaturated fatty acid lipoxygenase ALOX12 (EC 1.13.11.-) (Arachidonate (12S)-lipoxygenase) (12S-LOX) (12S-lipoxygenase) (EC 1.13.11.31) (Arachidonate (15S)-lipoxygenase) (EC 1.13.11.33) (Linoleate (13S)-lipoxygenase) (Lipoxin synthase 12-LO) (EC 3.3.2.-) (Platelet-type lipoxygenase 12)	663	9606	ALOX12	Cytoplasm, cytosol. Membrane. Note=Membrane association is stimulated by EGF.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; sarcolemma [GO:0042383]	Expressed in vascular smooth muscle cells. {ECO:0000269|PubMed:23578768}.	239;	2ABU;3D3L;	4	0.7638739585876465
145	Q9Y2G2	Caspase recruitment domain-containing protein 8 (Apoptotic protein NDPP1) (CARD-inhibitor of NF-kappa-B-activating ligand) (CARDINAL) (DACAR) (Tumor up-regulated CARD-containing antagonist of CASP9) (TUCAN)	431	9606	CARD8	Cytoplasm {ECO:0000269|PubMed:15030775}. Nucleus {ECO:0000269|PubMed:15030775}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; inflammasome complex [GO:0061702]; NLRP3 inflammasome complex [GO:0072559]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]	High expression in lung, ovary, testis and placenta. Lower expression in heart, kidney and liver. Also expressed in spleen, lymph node and bone marrow.	22900;	4IKM;	4	0.7905608296394349
146	Q8IVL0	Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1) (Steerin-3) (Unc-53 homolog 3) (unc53H3)	2385	9606	NAV3	Nucleus outer membrane {ECO:0000250}.	nuclear outer membrane [GO:0005640]	Highly expressed in brain. Expressed at low levels in heart and placenta. Present in activated T-cells but not in resting T-cells (at protein level). Down-regulated in primary neuroblastoma. {ECO:0000269|PubMed:12062803, ECO:0000269|PubMed:12079279, ECO:0000269|PubMed:15158073, ECO:0000269|PubMed:16166283}.	89795;	NA;	2	0.5675998210906983
147	P04040	Catalase (EC 1.11.1.6)	527	9606	CAT	Peroxisome.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]		847;	1DGB;1DGF;1DGG;1DGH;1F4J;1QQW;	11	0.851978600025177
148	Q9NZC7	WW domain-containing oxidoreductase (EC 1.1.1.-) (Fragile site FRA16D oxidoreductase) (Short chain dehydrogenase/reductase family 41C member 1)	414	9606	WWOX	Cytoplasm {ECO:0000269|PubMed:14695174, ECO:0000269|PubMed:15070730, ECO:0000269|PubMed:16219768, ECO:0000269|PubMed:19366691, ECO:0000269|PubMed:19465938}. Nucleus {ECO:0000269|PubMed:14695174, ECO:0000269|PubMed:15064722, ECO:0000269|PubMed:16219768, ECO:0000269|PubMed:19366691}. Mitochondrion {ECO:0000269|PubMed:14695174}. Golgi apparatus {ECO:0000305}. Note=Partially localizes to the mitochondria (PubMed:14695174). Translocates to the nucleus upon genotoxic stress or TNF stimulation (By similarity). Translocates to the nucleus in response to TGFB1 (PubMed:19366691). Isoform 5 and isoform 6 may localize in the nucleus. {ECO:0000250, ECO:0000269|PubMed:14695174, ECO:0000269|PubMed:19366691}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]	Widely expressed. Strongly expressed in testis, prostate, and ovary. Overexpressed in cancer cell lines. Isoform 5 and isoform 6 may only be expressed in tumor cell lines. {ECO:0000269|PubMed:10786676, ECO:0000269|PubMed:11719429}.	51741;	1WMV;	21	0.9193823397159576
149	P25025	C-X-C chemokine receptor type 2 (CXC-R2) (CXCR-2) (CDw128b) (GRO/MGSA receptor) (High affinity interleukin-8 receptor B) (IL-8R B) (IL-8 receptor type 2) (CD antigen CD182)	360	9606	CXCR2	Cell membrane; Multi-pass membrane protein.	cell [GO:0005623]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; mast cell granule [GO:0042629]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]		3579;	4Q3H;5TYT;	3	0.7341709673404694
150	P08887	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126)	468	9606	IL6R	[Isoform 1]: Basolateral cell membrane; Single-pass type I membrane protein.; [Isoform 2]: Secreted.	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; ciliary neurotrophic factor receptor complex [GO:0070110]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; interleukin-6 receptor complex [GO:0005896]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	Isoform 2 is expressed in peripheral blood mononuclear cells and weakly found in urine and serum.	3570;	1N26;1N2Q;1P9M;2ARW;5FUC;	6	0.794626659154892
151	Q9NQW7	Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)	623	9606	XPNPEP1	Cytoplasm {ECO:0000250}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]	Expressed in all tissues tested, including pancreas, heart, muscle, kidney, liver, lung and brain. Highest levels in pancreas. {ECO:0000269|PubMed:9465902}.	7511;	3CTZ;	9	0.7905883431434632
152	P12821	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	1306	9606	ACE	[Angiotensin-converting enzyme, soluble form]: Secreted.; Cell membrane; Single-pass type I membrane protein. Cytoplasm {ECO:0000250}. Note=Detected in both cell membrane and cytoplasm in neurons. {ECO:0000250}.	endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]; plasma membrane [GO:0005886]	Ubiquitously expressed, with highest levels in lung, kidney, heart, gastrointestinal system and prostate. Isoform Testis-specific is expressed in spermatocytes and adult testis. {ECO:0000269|PubMed:10924499, ECO:0000269|PubMed:10969042, ECO:0000269|PubMed:12459472, ECO:0000269|PubMed:15671045}.	1636;	1O86;1O8A;1UZE;1UZF;2C6F;2C6N;2IUL;2IUX;2OC2;2XY9;2XYD;2YDM;3BKK;3BKL;3L3N;3NXQ;4APH;4APJ;4BXK;4BZR;4BZS;4C2N;4C2O;4C2P;4C2Q;4C2R;4CA5;4CA6;4UFA;4UFB;5AM8;5AM9;5AMA;5AMB;5AMC;6EN5;6EN6;6F9R;6F9T;6F9U;6F9V;6H5W;6H5X;6QS1;6TT1;6TT3;6TT4;	5	0.7149427711963654
153	Q96EB6	NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	747	9606	SIRT1	Nucleus, PML body {ECO:0000269|PubMed:12006491}. Cytoplasm {ECO:0000269|PubMed:20027304}. Nucleus {ECO:0000269|PubMed:11672523, ECO:0000269|PubMed:15469825, ECO:0000269|PubMed:16079181, ECO:0000269|PubMed:19934257, ECO:0000269|PubMed:20027304, ECO:0000269|PubMed:20167603, ECO:0000269|PubMed:20955178}. Note=Recruited to the nuclear bodies via its interaction with PML (PubMed:12006491). Colocalized with APEX1 in the nucleus (PubMed:19934257). May be found in nucleolus, nuclear euchromatin, heterochromatin and inner membrane (PubMed:15469825). Shuttles between nucleus and cytoplasm (By similarity). Colocalizes in the nucleus with XBP1 isoform 2 (PubMed:20955178). {ECO:0000250|UniProtKB:Q923E4, ECO:0000269|PubMed:12006491, ECO:0000269|PubMed:15469825, ECO:0000269|PubMed:19934257, ECO:0000269|PubMed:20955178}.; [SirtT1 75 kDa fragment]: Cytoplasm {ECO:0000269|PubMed:21987377}. Mitochondrion {ECO:0000269|PubMed:21987377}.	cell [GO:0005623]; chromatin silencing complex [GO:0005677]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nuclear chromatin [GO:0000790]; nuclear envelope [GO:0005635]; nuclear euchromatin [GO:0005719]; nuclear heterochromatin [GO:0005720]; nuclear inner membrane [GO:0005637]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; rDNA heterochromatin [GO:0033553]	Widely expressed. {ECO:0000269|PubMed:10381378}.	23411;	4I5I;4IF6;4IG9;4KXQ;4ZZH;4ZZI;4ZZJ;5BTR;	46	0.934836333990097
154	Q9UBH6	Xenotropic and polytropic retrovirus receptor 1 (Protein SYG1 homolog) (Xenotropic and polytropic murine leukemia virus receptor X3) (X-receptor)	696	9606	XPR1	Cell membrane {ECO:0000269|PubMed:23791524}; Multi-pass membrane protein {ECO:0000305}.	cell [GO:0005623]; cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]	Widely expressed. Detected in spleen, lymph node, thymus, leukocytes, bone marrow, heart, kidney, pancreas and skeletal muscle. {ECO:0000269|PubMed:9927670, ECO:0000269|PubMed:9990033}.	9213;	5IJH;	3	0.7227340638637543
155	Q53HV7	Single-strand selective monofunctional uracil DNA glycosylase (EC 3.2.2.-)	270	9606	SMUG1	Nucleus {ECO:0000269|PubMed:10074426, ECO:0000269|PubMed:12161446}.	cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]		23583;	NA;	1	0.6869985103607178
156	P56937	3-keto-steroid reductase (EC 1.1.1.270) (17-beta-hydroxysteroid dehydrogenase 7) (17-beta-HSD 7) (Estradiol 17-beta-dehydrogenase 7) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 37C member 1)	341	9606	HSD17B7	Cell membrane; Single-pass membrane protein.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	Highly expressed in adrenal gland, liver, lung and thymus. Expressed in breast, ovaries, pituitary gland, pregnant uterus, prostate, kidney, lymph node, small intestine, spinal cord and trachea. Weakly expressed in all other tissues tested. Isoform 3 is expressed in eye ciliary epithelial cells and neuroendocrine cells.	51478;	NA;	1	0.5813928604125976
157	P00750	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	562	9606	PLAT	Secreted, extracellular space.	apical part of cell [GO:0045177]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; Schaffer collateral - CA1 synapse [GO:0098685]; secretory granule [GO:0030141]	Synthesized in numerous tissues (including tumors) and secreted into most extracellular body fluids, such as plasma, uterine fluid, saliva, gingival crevicular fluid, tears, seminal fluid, and milk.	5327;	1A5H;1BDA;1PK2;1PML;1RTF;1TPG;1TPK;1TPM;1TPN;5BRR;5ZLZ;	12	0.8190002679824829
158	P00751	Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment]	764	9606	CFB	Secreted.	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]		629;	1DLE;1Q0P;1RRK;1RS0;1RTK;2OK5;2WIN;2XWB;2XWJ;3HRZ;3HS0;6QSW;6QSX;6RAV;6RUR;6RUV;6T8U;6T8V;6T8W;	3	0.7230709135532379
159	P07196	Neurofilament light polypeptide (NF-L) (68 kDa neurofilament protein) (Neurofilament triplet L protein)	543	9606	NEFL	Cell projection, axon {ECO:0000250|UniProtKB:P08551}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P08551}.	axon [GO:0030424]; axon cytoplasm [GO:1904115]; cholinergic synapse [GO:0098981]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; growth cone [GO:0030426]; neurofilament [GO:0005883]; neuromuscular junction [GO:0031594]; postsynaptic intermediate filament cytoskeleton [GO:0099160]; presynaptic intermediate filament cytoskeleton [GO:0099182]; Schaffer collateral - CA1 synapse [GO:0098685]		4747;	NA;	10	0.8204137444496155
160	P08172	Muscarinic acetylcholine receptor M2	466	9606	CHRM2	Cell membrane {ECO:0000269|PubMed:22278061, ECO:0000269|PubMed:24256733, ECO:0000269|PubMed:3443095}; Multi-pass membrane protein {ECO:0000269|PubMed:22278061, ECO:0000269|PubMed:24256733}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=Phosphorylation in response to agonist binding promotes receptor internalization. {ECO:0000250|UniProtKB:P06199}.	asymmetric synapse [GO:0032279]; axon terminus [GO:0043679]; cell junction [GO:0030054]; cholinergic synapse [GO:0098981]; clathrin-coated vesicle membrane [GO:0030665]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic membrane [GO:0099056]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; symmetric synapse [GO:0032280]; synapse [GO:0045202]		1129;	1LUB;3UON;4MQS;4MQT;5YC8;5ZK3;5ZK8;5ZKB;5ZKC;6OIK;6U1N;	2	0.625023490190506
161	O43426	Synaptojanin-1 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 1)	1573	9606	SYNJ1	Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:O18964}.	cell [GO:0005623]; clathrin coat of coated pit [GO:0030132]; cytosol [GO:0005829]; membrane coat [GO:0030117]; perinuclear region of cytoplasm [GO:0048471]; presynapse [GO:0098793]; synaptic membrane [GO:0097060]; terminal bouton [GO:0043195]; vesicle membrane [GO:0012506]	Concentrated at clathrin-coated endocytic intermediates in nerve terminals. Isoform 1 is more enriched than isoform 2 in developing brain as well as non-neuronal cells. Isoform 2 is very abundant in nerve terminals.	8867;	1W80;2DNR;2VJ0;	6	0.8257471561431885
