Uniprot_A	Uniprot_B	Interaction	Protein_A_idx	Protein_B_idx
P05067	P61457	1	350	91
P13501	P25054	1	871	626
P34947	P63104	1	160	399
P19634	P31749	1	72	0
Q15118	Q16513	1	724	540
P00533	P11498	1	435	402
P17931	P56199	1	123	527
P31749	Q96RU7	1	0	277
P28482	P35968	1	701	77
P02741	P05231	1	730	104
P19320	Q9BZL1	1	85	110
P11021	P36955	1	1029	431
P07858	Q68CZ1	1	50	4
P09874	P42574	1	962	1033
P04083	Q05086	1	580	486
P05067	Q99612	1	350	775
O15244	Q93063	1	404	822
P17931	P29353	1	123	939
P11021	P20333	1	1029	946
Q16881	Q92731	1	608	422
P05783	P42574	1	107	1033
P10599	Q9BZL1	1	928	110
P27986	P29353	1	122	939
O00767	Q00325	1	90	830
P28482	Q05513	1	701	685
P02766	Q7Z5J4	1	78	665
P10275	P49715	1	79	633
P04150	P11509	1	630	573
P38398	P42229	1	697	614
P04049	P31749	1	200	0
P38398	Q49AN0	1	697	193
P01042	P07384	1	566	964
P01189	P05067	1	999	350
P27986	P41597	1	122	955
O00233	P08887	1	484	195
Q92831	Q9UIH9	1	708	912
O00161	P02751	1	627	443
P17301	P25391	1	981	501
P27986	P29350	1	122	942
Q13085	Q96EB6	1	198	86
P31749	Q07812	1	0	987
P00441	P60900	1	479	1026
P45983	Q16539	1	499	969
P10275	Q16082	1	79	638
P28799	P98160	1	271	179
P16410	Q06124	1	504	660
P07550	P34947	1	846	160
P02647	P55058	1	985	165
P18031	P35414	1	19	188
P04626	P35232	1	223	746
O60603	P16070	1	359	679
P02741	P28482	1	730	701
P02647	P02656	1	985	990
Q06124	Q9NZQ7	1	660	206
P49327	Q92831	1	606	708
O00631	P16615	1	773	970
Q15796	Q92731	1	753	422
O75787	P09382	1	890	904
P41235	Q96EB6	1	642	86
P04083	Q04206	1	580	218
P01130	Q8NBP7	1	310	761
P28482	Q16665	1	701	1035
P01189	Q01726	1	999	106
P16070	Q9Y6C9	1	679	173
P02751	P07585	1	443	690
P02751	P02786	1	443	832
P03372	Q13887	1	12	9
P16410	P51692	1	504	937
P09874	Q13315	1	962	691
P00533	P01034	1	435	736
P25490	P62937	1	646	991
P18850	P40261	1	248	543
P51812	Q16539	1	825	969
P04626	P60709	1	223	243
P10912	P40763	1	254	255
P00533	Q15165	1	435	787
P00533	P51787	1	435	337
P08069	P18031	1	284	19
Q00325	Q9Y6C9	1	830	173
P34947	Q7L5Y9	1	160	409
P04114	P31751	1	744	771
P05067	P61371	1	350	716
P41235	Q92786	1	642	893
P06213	P54646	1	168	222
P21333	P41180	1	632	389
P20823	Q92786	1	550	893
Q05084	Q9NPJ1	1	494	760
P01011	P03956	1	138	593
Q15466	Q9UBC0	1	331	769
P17676	Q9H7Z7	1	1003	662
P07996	P08253	1	381	109
P14780	P80188	1	654	144
Q13541	Q16539	1	281	969
P01137	P35555	1	425	457
P40763	Q03181	1	255	326
O95140	Q15796	1	811	753
P07858	Q15831	1	50	768
P10599	Q9H3M7	1	928	129
Q96EB6	Q99608	1	86	70
P19634	Q86UG4	1	72	364
P18031	Q96G30	1	19	845
O60494	P38398	1	926	697
P07384	Q96KP4	1	964	335
P07550	P08195	1	846	777
P26358	P38398	1	941	697
P29353	P35568	1	939	886
P19438	P45983	1	354	499
P08133	Q99757	1	464	535
P04049	P05783	1	200	107
P11215	Q14773	1	532	948
P07585	P08254	1	690	108
P22001	Q07812	1	537	987
P06213	Q9P104	1	168	892
P04792	P63104	1	628	399
P35372	Q9P104	1	858	892
P04083	P55851	1	580	838
O43597	P28799	1	383	271
Q06124	Q16620	1	660	915
P60709	Q92831	1	243	708
O60674	Q13322	1	471	961
Q01813	Q9Y2Q3	1	380	225
P56524	Q02078	1	644	721
Q16539	Q99988	1	969	612
P38398	Q14457	1	697	306
P07996	Q07954	1	381	211
P00813	P30542	1	603	623
Q13887	Q92731	1	9	422
P09874	P12004	1	962	1031
P01116	P17936	1	1028	124
P09471	P30542	1	41	623
P04150	P10599	1	630	928
O43524	P31749	1	805	0
P00747	P01138	1	510	419
P01106	Q13085	1	756	198
P18031	P56945	1	19	732
P07384	Q07812	1	964	987
P17676	P18847	1	1003	545
P18031	Q16620	1	19	915
P46108	P57075	1	879	47
P24530	P29474	1	439	412
O15524	P08069	1	647	284
P36955	Q06124	1	431	660
P09382	P60484	1	904	153
P17676	Q10586	1	1003	478
P01106	P27708	1	756	302
O15527	P35414	1	296	188
P00441	Q04760	1	479	493
P04792	P42574	1	628	1033
O60603	Q05513	1	359	685
P31751	Q92945	1	771	53
P41252	Q06210	1	51	865
P38398	Q9ULJ6	1	697	294
P08588	P29475	1	307	413
P02751	P49327	1	443	606
P25445	Q03135	1	570	917
P10599	P18031	1	928	19
P05067	P29474	1	350	412
P20333	Q13490	1	946	682
P01138	Q99523	1	419	819
O00327	P56645	1	957	397
P08254	P19838	1	108	635
P11802	Q99956	1	226	315
P10644	Q15796	1	327	753
P27708	P63104	1	302	399
O43474	Q8WTS6	1	398	189
O60674	P48357	1	471	366
P37231	Q13131	1	344	497
P14859	Q04206	1	680	218
P04150	Q9UGU0	1	630	639
P29350	Q03135	1	942	917
P26358	Q5T4F7	1	941	1023
Q14145	Q16236	1	65	426
O75791	P00533	1	203	435
P03372	P40763	1	12	255
O00255	P35222	1	800	459
P25098	P48736	1	323	300
O75056	P09038	1	45	460
P06213	Q03135	1	168	917
P10644	P31323	1	327	994
P00533	P29279	1	435	377
P01375	Q9BZS1	1	237	528
P40763	P42345	1	255	920
P04114	Q9BQE4	1	744	856
P01024	P01031	1	998	118
P09486	P98160	1	648	179
P01130	P04114	1	310	744
P10644	P11802	1	327	226
P34947	P35579	1	160	903
P46108	Q9HCU4	1	879	695
P15692	P29323	1	282	978
P16220	Q12772	1	601	589
P54646	Q9UGJ0	1	222	574
Q00535	Q16623	1	40	914
P31749	Q16875	1	0	806
P22415	P49327	1	907	606
P36956	P51843	1	433	436
P11473	P14859	1	420	680
P08246	P10145	1	864	625
P00533	P19367	1	435	988
P05121	Q07954	1	683	211
O60674	P40763	1	471	255
O75197	P04628	1	295	228
P07203	P10599	1	407	928
P02751	Q99873	1	443	884
P01106	P08183	1	756	24
P00533	Q9Y5K6	1	435	132
Q04206	Q14457	1	218	306
P00533	P51451	1	435	159
O75787	P02786	1	890	832
O95477	P00533	1	881	435
P12004	P19367	1	1031	988
Q01469	Q9H1Y0	1	896	96
P01137	Q9BY76	1	425	139
P01137	P07585	1	425	690
P11802	P15172	1	226	966
P03372	Q92574	1	12	14
Q16236	Q8IUH3	1	426	712
P42345	Q13541	1	920	281
P10415	Q9NZS9	1	799	663
O60674	Q9NRF2	1	471	405
A5A3E0	P04201	1	678	10
P81605	Q92731	1	444	422
O43524	P00533	1	805	435
P05771	P25098	1	933	323
P10275	P42574	1	79	1033
P01344	P18065	1	456	472
P01009	P17931	1	442	123
P27986	Q13905	1	122	100
P56945	Q16698	1	732	995
P05783	Q9BXC9	1	107	741
P56524	Q96EB6	1	644	86
P49768	Q92736	1	1017	325
P01130	P16671	1	310	521
P29353	Q06124	1	939	660
P22455	Q9BY76	1	841	139
P01308	P05067	1	321	350
P54274	Q13315	1	2	691
P01584	P09429	1	728	542
P35638	Q14145	1	1021	65
Q06124	Q9Y4H2	1	660	167
P10586	P35568	1	640	886
P25025	P42830	1	194	249
O95750	P22455	1	631	841
P24394	Q9Y4H2	1	1005	167
O43524	P12004	1	805	1031
O60494	P02774	1	926	823
P37231	Q12778	1	344	594
P10809	P35228	1	668	465
O95865	P11802	1	839	226
P00533	P63241	1	435	833
P25054	P49327	1	626	606
P52945	Q16539	1	373	969
P20702	P49715	1	526	633
P01106	Q16665	1	756	1035
Q96EB6	Q9Y4H2	1	86	167
P22001	Q03135	1	537	917
P51449	Q9BZS1	1	905	528
O00233	P31751	1	484	771
P01137	P25054	1	425	626
P56645	Q13315	1	397	691
O43741	P28799	1	621	271
O75436	P14174	1	667	492
O60603	P29350	1	359	942
P04637	P09429	1	523	542
P34947	Q03135	1	160	917
P63104	Q99683	1	399	810
P01137	P14780	1	425	654
P33032	Q96G30	1	260	845
P01106	P11473	1	756	420
P15172	Q8IXJ6	1	966	259
P10809	P11021	1	668	1029
P02652	P05090	1	256	207
P10912	P51692	1	254	937
O43524	Q16665	1	805	1035
P28799	P54259	1	271	487
P02751	P98160	1	443	179
Q00613	Q16082	1	388	638
P06239	P28907	1	759	462
P14784	P60568	1	652	292
P05067	Q00535	1	350	40
P02760	P02768	1	74	71
P05106	P08253	1	229	109
Q14790	Q15311	1	69	801
O75787	P28335	1	890	1013
Q03135	Q9H1Y0	1	917	96
P01106	Q9UQ07	1	756	469
P49327	P52732	1	606	508
P00747	P05121	1	510	683
O95989	P51671	1	55	42
P00533	Q96P48	1	435	897
Q05639	Q15831	1	370	768
O00206	P02765	1	187	76
P26441	Q93063	1	666	822
P17931	Q9HBW0	1	123	945
P04049	Q68CZ1	1	200	4
P40763	Q96KP4	1	255	335
P52732	Q92831	1	508	708
P01100	P29323	1	757	978
P54707	Q96G30	1	857	845
P02652	P02768	1	256	71
P26358	P35222	1	941	459
P19438	Q9UJ41	1	354	836
P03372	Q16539	1	12	969
P04626	P08133	1	223	464
P04792	P18428	1	628	429
P08133	P43490	1	464	427
P09874	P38398	1	962	697
O95445	Q99612	1	396	775
P11362	Q9H1Y0	1	250	96
P04049	P25490	1	200	646
P16860	P27487	1	314	919
P10809	P63104	1	668	399
P01137	P11473	1	425	420
P05067	Q96KN2	1	350	891
Q07869	Q9UBK2	1	1024	520
P25490	P26651	1	646	531
P04406	P10809	1	438	668
P49327	Q06210	1	606	865
O14654	P01106	1	216	756
P11586	Q49AN0	1	252	193
P02652	Q8WTV0	1	256	136
P02679	P02751	1	880	443
P14780	P42830	1	654	249
P05067	P14136	1	350	629
P00533	P08779	1	435	1
P05090	P48357	1	207	366
P03372	P27540	1	12	461
P00533	P28482	1	435	701
P01308	P60484	1	321	153
P29474	P60709	1	412	243
P09429	P28482	1	542	701
Q99700	Q9NWB1	1	975	80
O60674	P98161	1	471	180
P01275	P07711	1	289	56
O15534	P56645	1	598	397
Q00613	Q15311	1	388	801
O95477	P01106	1	881	756
P49768	Q14118	1	1017	944
Q13322	Q9Y4H2	1	961	167
P29353	P68371	1	939	375
P00441	Q9Y2Q3	1	479	225
O96008	P23786	1	358	913
P04637	P10415	1	523	799
P02751	P41252	1	443	51
P37231	Q86VZ6	1	344	11
Q07869	Q96EB6	1	1024	86
Q07954	Q9NVV4	1	211	717
P26358	P60709	1	941	243
O60603	P07585	1	359	690
P19438	Q15311	1	354	801
P01042	P06870	1	566	529
P01189	P32245	1	999	581
O60674	P27986	1	471	122
P04083	P17096	1	580	454
P10644	P42345	1	327	920
P42336	Q6FHJ7	1	887	470
O14654	P00533	1	216	435
P06239	P14784	1	759	652
P05783	P11021	1	107	1029
P31749	Q92731	1	0	422
P04626	P24385	1	223	280
O15455	Q13490	1	710	682
O14654	Q04206	1	216	218
P10145	P25025	1	625	194
P08254	P09486	1	108	648
P04637	Q92831	1	523	708
P18031	P35232	1	19	746
P05771	P34741	1	933	351
O95865	Q15714	1	839	674
P24394	P31785	1	1005	934
O75787	Q15165	1	890	787
P25098	Q03135	1	323	917
P04271	Q15109	1	549	437
P25054	P41252	1	626	51
P25054	P35232	1	626	746
P06213	P24666	1	168	784
O00327	Q96EB6	1	957	86
P01106	P45983	1	756	499
P35568	Q9NRF2	1	886	405
Q04206	Q8WTS6	1	218	189
P00533	P05067	1	435	350
P05067	Q13326	1	350	538
P02751	P42229	1	443	614
P01584	P05067	1	728	350
P00533	P40763	1	435	255
Q04206	Q92831	1	218	708
P22415	P51449	1	907	905
P00441	P09429	1	479	542
P01116	P48736	1	1028	300
O60427	P28335	1	522	1013
P08571	Q9NR96	1	75	455
Q04206	Q13315	1	218	691
Q6P1M0	Q9HC24	1	303	694
P28335	Q6ZMG9	1	1013	742
O15055	O15516	1	495	127
P02649	P02655	1	87	257
P00441	Q05086	1	479	486
P02751	Q16665	1	443	1035
P42229	Q06124	1	614	660
P02751	P98161	1	443	180
O75052	P29475	1	48	413
P41235	P45983	1	642	499
P10809	P55211	1	668	672
P45381	Q14145	1	272	65
P03372	Q86YN6	1	12	208
O15534	Q9H3M7	1	598	129
O75469	P04637	1	293	523
P13073	Q9HC24	1	232	694
P24666	P35222	1	784	459
P01241	Q8N5K1	1	164	935
P12004	Q15714	1	1031	674
P19320	Q08752	1	85	417
P01374	P01375	1	345	237
P14598	P24394	1	567	1005
P04626	P29353	1	223	939
P19367	P31749	1	988	0
P63241	Q9UNI6	1	833	476
P00533	Q14457	1	435	306
P35968	Q13322	1	77	961
P02545	P46108	1	58	879
P04792	Q00613	1	628	388
P35212	P35372	1	636	858
P42898	Q96PH1	1	480	1000
P04637	P12004	1	523	1031
O14543	Q04206	1	362	218
P05106	P21333	1	229	632
P10145	Q99612	1	625	775
P03372	Q05086	1	12	486
Q16849	Q8WXG6	1	963	287
P37231	P54646	1	344	222
P10275	Q15466	1	79	331
Q10471	Q9HC29	1	568	789
P05107	Q14289	1	230	883
P10912	Q9Y2R2	1	254	212
O96008	Q9BXM7	1	358	286
P11021	P49286	1	1029	145
P05362	P08195	1	297	777
P42574	Q02078	1	1033	721
P40763	Q96EB6	1	255	86
P42574	Q14116	1	1033	950
P08949	Q13490	1	780	682
O43524	Q96EB6	1	805	86
P18089	P63104	1	114	399
P02647	P08779	1	985	1
P03372	P61371	1	12	716
P06239	Q9NSE2	1	759	751
P11021	P56945	1	1029	732
P00533	P62995	1	435	299
O14654	Q05513	1	216	685
P05109	P60484	1	220	153
P42574	P45984	1	1033	496
P00533	P10275	1	435	79
P29353	Q16539	1	939	969
P02751	P24666	1	443	784
P35222	P63104	1	459	399
P00533	Q01813	1	435	380
P01106	Q8IZT6	1	756	233
P01042	P05107	1	566	230
P03372	P24385	1	12	280
P47712	Q8IXJ6	1	368	259
P49768	Q05513	1	1017	685
Q12772	Q96RI1	1	589	649
P19438	Q13490	1	354	682
P11021	P46108	1	1029	879
P01584	P14778	1	728	1011
Q16656	Q9BZS1	1	868	528
P05067	P45983	1	350	499
P13284	P35625	1	20	755
P19320	Q53FZ2	1	85	336
O00141	Q15118	1	15	724
P21673	Q16665	1	312	1035
P42574	Q16513	1	1033	540
P27708	P29353	1	302	939
P00533	Q6YHU6	1	435	930
O95140	Q9BXM7	1	811	286
Q8WY21	Q99523	1	547	819
P37231	Q86YN6	1	344	208
P04278	P15121	1	32	82
P04049	P10275	1	200	79
P05067	P11802	1	350	226
P02751	P04406	1	443	438
P34741	Q9Y5X9	1	351	202
P04114	P11168	1	744	733
P04049	P11021	1	200	1029
P08571	P18428	1	75	429
P02751	P34741	1	443	351
P02652	P55058	1	256	165
P10415	P51451	1	799	159
P40763	Q05513	1	255	685
P29350	P51692	1	942	937
O60543	P05362	1	395	297
P18031	Q86UG4	1	19	364
P00533	P03372	1	435	12
P24394	Q05513	1	1005	685
P60484	Q05639	1	153	370
Q8NHX9	Q9UKG1	1	33	147
P05067	P17752	1	350	60
O14654	P54274	1	216	2
P05067	P08637	1	350	423
P54274	Q03426	1	2	617
P10275	P62633	1	79	843
O43741	Q9UGJ0	1	621	574
P06213	Q9NRF2	1	168	405
P29353	P46108	1	939	879
P19838	P35222	1	635	459
Q99757	Q9H3M7	1	535	129
P05067	Q96LR5	1	350	430
P41235	Q15466	1	642	331
P00533	P08195	1	435	777
Q16620	Q9P104	1	915	892
P11413	Q96KP4	1	131	335
O15534	Q16665	1	598	1035
P14598	P60484	1	567	153
O75444	P49715	1	853	633
P02656	P41235	1	990	642
P14784	P29353	1	652	939
P03372	P10809	1	12	668
Q14994	Q9UBK2	1	339	520
O15294	P25054	1	236	626
Q9UBQ5	Q9Y478	1	749	3
P09601	P29475	1	551	413
P28482	P37231	1	701	344
P02768	Q15311	1	71	801
P05231	P13725	1	104	778
P02768	P07711	1	71	56
P18615	P28072	1	718	824
P08235	P33121	1	703	898
P05067	Q96RU7	1	350	277
P35222	P35354	1	459	291
P17676	Q04206	1	1003	218
P35222	P38398	1	459	697
P31749	Q12778	1	0	594
O14975	P63104	1	813	399
Q07869	Q13133	1	1024	758
P06239	P50607	1	759	367
P15121	Q9NNW7	1	82	816
P03372	Q96KN2	1	12	891
P04083	P38398	1	580	697
O00300	P07996	1	518	381
P35611	P42574	1	275	1033
P04626	Q9Y2R2	1	223	212
P07550	P29475	1	846	413
P04049	Q09013	1	200	176
P11245	P25054	1	599	626
P01137	P13501	1	425	871
O43597	Q06124	1	383	660
P35968	P98160	1	77	179
P27708	P68371	1	302	375
P10909	P80303	1	986	483
P03372	Q16698	1	12	995
P01011	Q07954	1	138	211
P16581	P21333	1	686	632
P15172	P40424	1	966	641
O00141	P42345	1	15	920
P05106	P47712	1	229	368
P23560	P29474	1	860	412
O95750	Q96RI1	1	631	649
P01589	P17096	1	720	454
P16220	Q13976	1	601	16
P11802	P38398	1	226	697
P55211	Q8WU39	1	672	546
P00533	P35568	1	435	886
P36402	Q9ULJ6	1	688	294
P31749	Q9NYB0	1	0	1004
P11021	P26358	1	1029	941
P26651	P28482	1	531	701
P09917	P27986	1	713	122
P04406	P31749	1	438	0
P04049	Q13490	1	200	682
Q16539	Q9Y5X9	1	969	202
P01009	P02751	1	442	443
O00233	O15516	1	484	127
P00441	P14550	1	479	447
P01303	Q9UBU3	1	316	851
P04150	P24666	1	630	784
P23443	P35568	1	506	886
P42229	Q99988	1	614	612
P19438	P42336	1	354	887
P01100	Q04724	1	757	372
P09486	P21980	1	648	278
P16671	P98155	1	521	925
O00255	P36956	1	800	433
P29474	Q96EB6	1	412	86
O14654	Q9BZK7	1	216	745
Q96A54	Q96G30	1	411	845
Q92813	Q92813	1	610	610
P31751	Q9UKG1	1	771	147
P10997	P14735	1	185	105
P02655	P04114	1	257	744
P02647	P05067	1	985	350
P05067	P35568	1	350	886
P05109	P54274	1	220	2
P02741	P41159	1	730	555
P02751	P10809	1	443	668
P15172	Q96EB6	1	966	86
P16220	P31749	1	601	0
Q15714	Q9Y2S7	1	674	560
P08514	P47712	1	738	368
P01375	P25445	1	237	570
P00533	P14416	1	435	452
P35228	Q00325	1	465	830
Q14289	Q9HCN6	1	883	83
P04626	P35070	1	223	94
P11021	P31749	1	1029	0
P31749	Q15831	1	0	768
P08588	P21917	1	307	267
P04792	P60900	1	628	1026
O95433	P49327	1	798	606
O00255	P04637	1	800	523
P02679	P05362	1	880	297
P08069	P41240	1	284	353
P11362	P40763	1	250	255
P00747	P01042	1	510	566
P42574	P55211	1	1033	672
P24385	Q16656	1	280	868
P31749	Q92831	1	0	708
P41968	Q96G30	1	196	845
P03372	P63162	1	12	731
P10599	Q9HC24	1	928	694
P01019	P40763	1	134	255
P17542	Q92831	1	829	708
P06850	Q13324	1	39	956
P28482	Q15121	1	701	786
P00533	P37268	1	435	949
P56524	Q9BZK7	1	644	745
P10909	P27169	1	986	181
P46108	P68371	1	879	375
P09211	P45983	1	561	499
O43597	O43741	1	383	621
Q14145	Q9H1Y0	1	65	96
P09471	Q92729	1	41	765
P49327	Q49AN0	1	606	193
P08887	P78536	1	195	619
P27986	P45984	1	122	496
P04150	P51843	1	630	436
P51587	Q14145	1	146	65
P28482	Q13322	1	701	961
P05067	Q13133	1	350	758
P02545	P35222	1	58	459
P24385	P28482	1	280	701
P61073	Q03135	1	700	917
P14735	P40763	1	105	255
O60674	P16410	1	471	504
P19838	Q9UBK2	1	635	520
P09874	P52757	1	962	26
P38398	P41161	1	697	715
P10809	Q6EEV6	1	668	597
P04637	P05109	1	523	220
P04637	P10599	1	523	928
P05067	P09038	1	350	460
P31749	Q9BXM7	1	0	286
P40763	P61073	1	255	700
P62633	Q16539	1	843	969
P09038	P16070	1	460	679
P00441	Q8N163	1	479	67
O00206	Q99836	1	187	1016
P20823	P35222	1	550	459
O15503	P36956	1	866	433
P05362	P21333	1	297	632
P35222	Q01860	1	459	776
P11362	P46108	1	250	879
O75469	P41235	1	293	642
Q5T4F7	Q96EB6	1	1023	86
P28072	Q92731	1	824	422
P06239	P10586	1	759	640
P13500	Q99612	1	872	775
P06307	P32238	1	609	264
O75791	P29353	1	203	939
P04637	Q12772	1	523	589
P14210	P34741	1	726	351
P04637	P24385	1	523	280
Q06210	Q8N6T7	1	865	186
P01375	P20333	1	237	946
O00253	Q9UBU3	1	802	851
P27708	Q00325	1	302	830
P40763	Q16665	1	255	1035
P08185	P36955	1	22	431
P38398	Q15008	1	697	89
P10599	P19320	1	928	85
P11802	P18031	1	226	19
O95433	Q9Y2Q3	1	798	225
P03372	Q8WTS6	1	12	189
P11245	Q13315	1	599	691
P31749	P45984	1	0	496
P14859	P51692	1	680	937
P18031	Q8NFF5	1	19	618
P05019	P07858	1	645	50
P08133	P23297	1	464	707
P03372	P08069	1	12	284
P14598	P47712	1	567	368
P45983	Q14790	1	499	69
Q8WTS1	Q96AD5	1	190	137
P15172	Q9UBK2	1	966	520
Q02078	Q9NRF2	1	721	405
P05067	Q01362	1	350	450
P10415	P28482	1	799	701
Q16236	Q96LR5	1	426	430
Q03181	Q92786	1	326	893
P10275	Q16665	1	79	1035
P28482	P41235	1	701	642
P05067	P29353	1	350	939
P04179	P05067	1	27	350
P01106	P09382	1	756	904
O95433	P81605	1	798	444
P56945	Q13905	1	732	100
Q13131	Q9H3M7	1	497	129
P02786	P07550	1	832	846
P03372	P63104	1	12	399
O00233	Q9UID3	1	484	251
P41235	Q93063	1	642	822
P08133	P49286	1	464	145
P06239	P40763	1	759	255
O15294	Q13887	1	236	9
P31749	P35222	1	0	459
P10415	P38398	1	799	697
O15055	P56645	1	495	397
P19438	P28799	1	354	271
P05783	Q99757	1	107	535
P08237	Q6FHJ7	1	704	470
P48995	Q03135	1	239	917
P63104	Q3KP44	1	399	675
P02792	P10809	1	575	668
P45983	Q06210	1	499	865
P61457	P68371	1	91	375
P49715	Q13887	1	633	9
P46108	Q96KP4	1	879	335
P01303	Q16568	1	316	578
P05067	Q9H8Y8	1	350	993
P23297	Q08752	1	707	417
P02751	P04083	1	443	580
P01100	P45984	1	757	496
P60709	Q13155	1	243	828
P04150	P51692	1	630	937
P29279	P60709	1	377	243
P02751	P05783	1	443	107
P04637	Q15831	1	523	768
P42574	P45983	1	1033	499
O60266	P07550	1	347	846
Q16821	Q9BYX4	1	406	52
P38398	P42574	1	697	1033
P17676	Q92831	1	1003	708
P10275	Q5VUA4	1	79	837
Q8NHW3	Q92831	1	348	708
P30711	Q8IXJ6	1	932	259
P00533	P04083	1	435	580
P14778	P31749	1	1011	0
O94760	P02675	1	421	877
P05783	P28799	1	107	271
P05109	P62937	1	220	991
P16410	P27986	1	504	122
P46108	P56945	1	879	732
P11245	P19544	1	599	434
P21673	Q04206	1	312	218
O94808	O95433	1	517	798
P01100	P24385	1	757	280
P01375	P01579	1	237	305
P01106	P48634	1	756	894
P29353	P60709	1	939	243
Q13315	Q16665	1	691	1035
O60603	P09429	1	359	542
P35568	P45983	1	886	499
P17676	P40763	1	1003	255
P05067	Q13322	1	350	961
Q13131	Q9Y478	1	497	3
P01178	Q92731	1	288	422
P15559	Q16236	1	155	426
P20333	P21333	1	946	632
Q92731	Q9UQ26	1	422	677
P07858	Q9NYA1	1	50	328
Q86TI0	Q96LR5	1	862	430
P04628	P16671	1	228	521
P03372	P49327	1	12	606
O75791	P04626	1	203	223
P42574	P56945	1	1033	732
P35680	P61457	1	556	91
P38398	Q99873	1	697	884
P03372	P42336	1	12	887
P54646	Q99683	1	222	810
P18031	P20648	1	19	725
P56524	Q03181	1	644	326
P42336	Q9Y4H2	1	887	167
P05783	P98161	1	107	180
O00767	P05067	1	90	350
P08246	P61073	1	864	700
P54646	Q8HWS3	1	222	238
P04637	Q07817	1	523	989
P10909	P19838	1	986	635
P02768	P14136	1	71	629
P21554	P28223	1	1034	424
P10912	P35568	1	254	886
P01275	Q86TI0	1	289	862
Q9Y2Q3	Q9Y6M1	1	225	863
P31785	P40933	1	934	308
O75052	P10809	1	48	668
O14791	P02647	1	468	985
P19320	Q16698	1	85	995
P05109	P06702	1	220	803
O15357	P08779	1	1012	1
P28482	Q15796	1	701	753
Q5VUA4	Q8N6T7	1	837	186
Q13228	Q9Y2S7	1	530	560
P00441	P55327	1	479	403
P13498	Q9Y5S8	1	140	604
P01019	P50052	1	134	141
P35520	P57075	1	17	47
P54259	Q14457	1	487	306
P08621	P19320	1	115	85
P16410	Q13905	1	504	100
P04637	P14174	1	523	492
P42336	Q15118	1	887	724
P38398	P49366	1	697	687
P14598	Q05513	1	567	685
P02765	P07585	1	76	690
O14654	P35558	1	216	463
P04150	P08235	1	630	703
P00533	P51812	1	435	825
Q8IXJ6	Q8N157	1	259	692
P02751	P60900	1	443	1026
P01579	Q9BZS1	1	305	528
P09038	P98160	1	460	179
P05106	P07996	1	229	381
P10909	P49917	1	986	245
O15524	P06213	1	647	168
P13807	Q9UQK1	1	908	533
O15357	P68371	1	1012	375
P35222	P56524	1	459	644
P24666	P60709	1	784	243
P49366	Q9NYA1	1	687	328
P01106	Q04206	1	756	218
O14543	P00533	1	362	435
P01137	P04626	1	425	223
P04406	P19320	1	438	85
P01241	P07741	1	164	938
Q96RK4	Q9BXC9	1	63	741
O15516	Q9UID3	1	127	251
P00533	Q9Y2S7	1	435	560
P05067	P60709	1	350	243
P47712	P60709	1	368	243
P01042	P05067	1	566	350
P08833	P13987	1	817	346
P04278	P08621	1	32	115
P09936	P14555	1	613	449
O00255	P01106	1	800	756
P06239	Q05086	1	759	486
P16581	Q04206	1	686	218
P03372	P04406	1	12	438
P16070	P41240	1	679	353
P08571	P11215	1	75	532
O95433	Q06210	1	798	865
P55211	Q07817	1	672	989
Q16665	Q99608	1	1035	70
Q7Z5J4	Q9UGU0	1	665	639
P01100	P10909	1	757	986
P19320	Q9UBQ5	1	85	749
P16070	Q05513	1	679	685
O15455	P11226	1	710	812
P02649	P02652	1	87	256
Q8N6T7	Q9BZK7	1	186	745
P05067	Q06546	1	350	511
Q04206	Q15672	1	218	562
O00233	Q9UJ41	1	484	836
P13500	P41597	1	872	955
P04406	Q16082	1	438	638
P22413	Q15165	1	911	787
Q12778	Q9Y5W3	1	594	922
P09874	P26358	1	962	941
P08637	P29353	1	423	939
O95477	P55058	1	881	165
P28799	P38398	1	271	697
P20823	P63104	1	550	399
P10909	P15692	1	986	282
P09429	Q14457	1	542	306
Q07817	Q16539	1	989	969
P28482	Q05469	1	701	965
Q9H568	Q9UGU0	1	657	639
P42229	Q99873	1	614	884
P02649	P19320	1	87	85
P04637	P17096	1	523	454
P00441	P17931	1	479	123
P02741	P35625	1	730	755
P07585	P14555	1	690	449
P01100	P35232	1	757	746
Q16445	Q96G97	1	1009	783
P01375	P14859	1	237	680
P04637	P09874	1	523	962
P00747	P09429	1	510	542
P05067	P07585	1	350	690
P62834	Q99956	1	983	315
P02545	P13569	1	58	166
P35579	P60709	1	903	243
P04637	P19544	1	523	434
P35568	Q05513	1	886	685
P00533	Q9NSE2	1	435	751
P61457	Q9H8Y8	1	91	993
O15294	P15884	1	236	261
P33681	Q9NZQ7	1	62	206
P31751	Q99683	1	771	810
P20823	P49715	1	550	633
P03372	P56945	1	12	732
O75444	Q8NHW3	1	853	348
P23443	P42336	1	506	887
Q8IXJ6	Q92831	1	259	708
P60709	Q99572	1	243	534
P49715	Q10586	1	633	478
P35414	Q15118	1	188	724
P00441	P09936	1	479	613
P27986	Q14289	1	122	883
P00441	P09211	1	479	561
P15173	P15884	1	576	261
P27986	P42336	1	122	887
P05067	P98160	1	350	179
Q99417	Q9HC24	1	197	694
P01308	P14735	1	321	105
P06239	P29353	1	759	939
P04440	P08185	1	559	22
O95140	P45984	1	811	496
